	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0004194|K13300|cccA; cytochrome c550								
OG0007266||								
OG0007343||								
OG0004177||								
OG0007361||								
OG0007268||								
OG0007449||								
OG0007270||								
OG0007476|K03763|polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]			PA					
OG0002120|K04562|flhG; flagellar biosynthesis protein FlhG						PA		
OG0007271|K02418|fliOZ; flagellar protein FliO/FliZ	PA		PA					
OG0007272|K02415|fliL; flagellar FliL protein			PA			PA		
OG0005709|K02385|flbD; flagellar protein FlbD	PA							
OG0007450||								
OG0001749|K02411|fliH; flagellar assembly protein FliH	PA		PA			PA		
OG0007273|K03706|codY; transcriptional pleiotropic repressor								
OG0007362|K14540|rbgA; ribosome biogenesis GTPase A						PA		
OG0007274|K09787|uncharacterized protein								
OG0007275||								
OG0007276||								
OG0007277|K01752|E4.3.1.17; L-serine dehydratase [EC:4.3.1.17]			PA					
OG0005729|K07030|uncharacterized protein	PA	PA						
OG0007278||								
OG0007279|K16789|thiT; thiamine transporter								
OG0007360||								
OG0004584||								
OG0004195|K06976|uncharacterized protein	PA							
OG0007280|K02823|pyrDII; dihydroorotate dehydrogenase electron transfer subunit								
OG0007281||								
OG0007282|K03589|ftsQ; cell division protein FtsQ								
OG0007373|K07094|pcrB; putative glycerol-1-phosphate prenyltransferase [EC:2.5.1.-]								
OG0007451||								
OG0004180|K22136|bshC; bacillithiol synthase								
OG0002493|K00077|panE; 2-dehydropantoate 2-reductase [EC:1.1.1.169]			PA			PA		
OG0007284||								
OG0007286||								
OG0001592|K05844|rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]					PA			
OG0007287||								
OG0007288|K02862|ctaG; putative membrane protein								
OG0007289||								
OG0007290||								
OG0007291||								
OG0005705||								
OG0007216||								
OG0007294||								
OG0007295|K00426|cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]			PA		PA			
OG0007296||								
OG0001913||								
OG0007350||								
OG0005710||								
OG0007382||								
OG0001753|K07396|putative protein-disulfide isomerase		PA	PA			PA		
OG0007297|K16511|mecA1_2; adapter protein MecA 1/2								
OG0007298|K06950|uncharacterized protein			PA			PA		
OG0003212|K00876|udk; uridine kinase [EC:2.7.1.48]		PA						
OG0005711||								
OG0007299||								
OG0007453|K07105|uncharacterized protein								
OG0007300|K07584|ysxB; uncharacterized protein								
OG0007301|K03571|mreD; rod shape-determining protein MreD			PA					
OG0002215|K02458|gspI; general secretion pathway protein I			PA					
OG0007345|K00241|sdhC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit								
OG0002766||								
OG0003723|K07456|mutS2; DNA mismatch repair protein MutS2								
OG0004159|K02347|polX; DNA polymerase (family X)	PA		PA			PA		
OG0007303||								
OG0007381|K03471|rnhC; ribonuclease HIII [EC:3.1.26.4]								
OG0002832||								
OG0007304||								
OG0004517|K02315|dnaC; DNA replication protein DnaC	PA			PA				
OG0007305|K03346|dnaB; replication initiation and membrane attachment protein								
OG0002276|K01611|speD; S-adenosylmethionine decarboxylase [EC:4.1.1.50]			PA		PA	PA		
OG0004153|K06881|nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]								
OG0007307||								
OG0007308||								
OG0007309|K00571|E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]								
OG0007455|K06286|ezrA; septation ring formation regulator								
OG0004714||								
OG0005713|K04766|acuA; acetoin utilization protein AcuA [EC:2.3.1.-]								
OG0004751||								
OG0007456||								
OG0007346|K19689|ampS; aminopeptidase [EC:3.4.11.-]			PA					
OG0007458||								
OG0004744||								
OG0007311||								
OG0007459|K01575|alsD; acetolactate decarboxylase [EC:4.1.1.5]								
OG0007312||								
OG0007359||								
OG0003396|K01439|dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]			PA					
OG0007313||								
OG0007314||								
OG0007201|K07570|GSP13; general stress protein 13								
OG0003708||								
OG0007460||								
OG0002579|K03488|licT; beta-glucoside operon transcriptional antiterminator				PA				
OG0005747||								
OG0007347||								
OG0007318||								
OG0007463|K09015|sufD; Fe-S cluster assembly protein SufD					PA	PA		
OG0005714|K07173|luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]								PA
OG0007319|K17462|yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]								
OG0004147||								
OG0007464|K04486|E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]		PA					PA	
OG0001683||								
OG0004689|K03921|FAB2; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	PA							
OG0004764||								
OG0005728||								
OG0004617||								
OG0007466||								
OG0005715|K02250|comK; competence protein ComK								
OG0006904||								
OG0007321|K09770|uncharacterized protein								
OG0007494||								
OG0007467||								
OG0005748||								
OG0005733|K13626|fliW; flagellar assembly factor FliW	PA							
OG0007469||								
OG0003645|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0005716||								
OG0005749|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0005727|K02777|PTS-Glc-EIIA; PTS system, sugar-specific IIA component [EC:2.7.1.-]		PA						
OG0003158|K21285|tagB; teichoic acid glycerol-phosphate primase [EC:2.7.8.44]								
OG0007323||								
OG0007470||								
OG0005336||								
OG0004752|K07035|uncharacterized protein				PA				
OG0005718|K10255|FAD6; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]			PA				PA	
OG0003202|K01104|E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]			PA					
OG0004197||								
OG0003217||								
OG0007472||								
OG0004765||								
OG0003977||								
OG0004500||								
OG0003179|K09793|uncharacterized protein	PA	PA						
OG0007473|K02116|atpI; ATP synthase protein I			PA					
OG0007324||								
OG0003527|K02809|PTS-Scr-EIIB; PTS system, sucrose-specific IIB component [EC:2.7.1.211]								
OG0007356||								
OG0007325|K03048|rpoE; DNA-directed RNA polymerase subunit delta								
OG0002195|K09817|znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]	PA		PA					
OG0005736||								
OG0004760||								
OG0002336|K13527|mpa; proteasome-associated ATPase	PA							
OG0002858|K07052|uncharacterized protein	PA	PA	PA					
OG0007327|K21567|fnr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]								
OG0007088||								
OG0005720|K01926|rex; redox-sensing transcriptional repressor	PA	PA						
OG0007380|K03090|sigB; RNA polymerase sigma-B factor	PA							
OG0007329|K04757|rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]		PA	PA					
OG0001626|K20978|hsbA; HptB-dependent secretion and biofilm anti anti-sigma factor								
OG0007330|K07723|ndoAI; CopG family transcriptional regulator / antitoxin EndoAI								
OG0007379||								
OG0007477||								
OG0005750||								
OG0007331||								
OG0004753||								
OG0007332||								
OG0007333||								
OG0001750|K02556|motA; chemotaxis protein MotA	PA		PA	PA		PA		
OG0000999|K02557|motB; chemotaxis protein MotB	PA		PA	PA		PA		
OG0004706|K08976|putative membrane protein								
OG0003697|K05946|tagA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]		PA	PA					
OG0007334||								
OG0007351|K20107|PTS-Mal-EIIB; PTS system, maltose-specific IIB component [EC:2.7.1.208]								
OG0007388||								
OG0007335||								
OG0004193|K19286|nfrA2; FMN reductase [NAD(P)H] [EC:1.5.1.39]								
OG0007479|K09607|ina; immune inhibitor A [EC:3.4.24.-]								
OG0005653||								
OG0003936||								
OG0002871|K01258|pepT; tripeptide aminopeptidase [EC:3.4.11.4]			PA					
OG0005723||								
OG0005004||								
OG0007354||								
OG0004746|K03315|nhaC; Na+:H+ antiporter, NhaC family					PA		PA	PA
OG0007336||								
OG0007337||								
OG0004940||								
OG0001800|K07652|vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]								
OG0007353|K22927|gdpP; cyclic-di-AMP phosphodiesterase GdpP [EC:3.1.4.-]								
OG0007481||								
OG0007210||								
OG0005495|K18672|dacA; diadenylate cyclase [EC:2.7.7.85]								
OG0005537||								
OG0002439|K06955|uncharacterized protein		PA						PA
OG0007482||								
OG0005704|K01938|fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]			PA		PA			
OG0004743|K07023|putative hydrolases of HD superfamily			PA		PA	PA	PA	
OG0007483||								
OG0002625|K16869|lipL; octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]								
OG0004183|K06885|uncharacterized protein								
OG0007212||								
OG0004181||								
OG0007375||								
OG0004418||								
OG0004086||								
OG0002874|K00757|udp; uridine phosphorylase [EC:2.4.2.3]					PA			
OG0002317|K07496|putative transposase		PA		PA		PA		
OG0003727||								
OG0006744||								
OG0007498|K00491|nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]		PA						
OG0007213||								
OG0002578||								
OG0001822|K00263|E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	PA	PA	PA			PA	PA	
OG0007217|K11622|liaF; lia operon protein LiaF								PA
OG0007218||								
OG0007219|K11619|liaI; lia operon protein LiaI								
OG0001679|K07238|TC.ZIP; zinc transporter, ZIP family		PA	PA		PA			
OG0003589||								
OG0001938|K08967|mtnD; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]			PA					
OG0005686|K08965|mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]								
OG0007220|K04069|pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]		PA						PA
OG0003656|K22452|tgpA; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]								
OG0007397|K00656|E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]								
OG0007221||								
OG0001927|K00243|uncharacterized protein								
OG0003816||								
OG0007398||								
OG0007222||								
OG0002616||								
OG0002725||								
OG0007223||								
OG0002332||								
OG0007224||								
OG0007226|K07038|inner membrane protein			PA		PA		PA	
OG0007227|K07586|ygaC; uncharacterized protein								
OG0007339||								
OG0007372||								
OG0007399||								
OG0007400||								
OG0007206|K03708|ctsR; transcriptional regulator of stress and heat shock response								
OG0007207|K19411|mcsA; protein arginine kinase activator								
OG0007401|K19405|mcsB; protein arginine kinase [EC:2.7.14.1]								
OG0003060|K07451|mcrA; 5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]			PA					
OG0007208||								
OG0007402|K11145|ribonuclease III family protein [EC:3.1.26.-]								
OG0007376|K06962|uncharacterized protein								
OG0005724|K03091|sigH; RNA polymerase sporulation-specific sigma factor								
OG0007209|K07590|RP-L7A; large subunit ribosomal protein L7A								
OG0007403|K06349|kbaA; KinB signaling pathway activation protein								
OG0007389||								
OG0005740||								
OG0007245||								
OG0007390||								
OG0007404|K15986|ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]								
OG0003719||								
OG0007244||								
OG0007405|K00929|buk; butyrate kinase [EC:2.7.2.7]								
OG0004952|K00634|ptb; phosphate butyryltransferase [EC:2.3.1.19]			PA					PA
OG0003889||								
OG0007242|K07699|spo0A; two-component system, response regulator, stage 0 sporulation protein A								
OG0007241||								
OG0007406||								
OG0007240||								
OG0002595||								
OG0007369|K09942|uncharacterized protein								
OG0005706|K21465|pbpA; penicillin-binding protein A								
OG0002869|K01176|AMY; alpha-amylase [EC:3.2.1.1]	PA				PA			
OG0007371|K05967|uncharacterized protein								
OG0005735|K01151|nfo; deoxyribonuclease IV [EC:3.1.21.2]	PA							
OG0002897|K06967|trmK; tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]							PA	
OG0007237||								
OG0005634|K07037|pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]					PA			
OG0007236||								
OG0007235|K07403|nfeD; membrane-bound serine protease (ClpP class)		PA	PA				PA	
OG0007391||								
OG0007234||								
OG0007232|K06948|yqeH; 30S ribosome assembly GTPase								
OG0007231|K07015|uncharacterized protein								
OG0007408||								
OG0007409|K01305|iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]								
OG0007230||								
OG0004749|K15771|ganP; arabinogalactan oligomer / maltooligosaccharide transport system permease protein								
OG0004748|K15770|cycB; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	PA							
OG0007410||								
OG0007411|K16899|addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]						PA		
OG0002748|K07662|cpxR; two-component system, OmpR family, response regulator CpxR			PA				PA	
OG0007229|K02443|glpP; glycerol uptake operon antiterminator								
OG0003957|K00231|PPOX; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]						PA		
OG0003735||								
OG0007340|K03698|cbf; 3'-5' exoribonuclease [EC:3.1.-.-]								
OG0004747||								
OG0007412|K00975|glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]			PA			PA		
OG0005707||								
OG0003858|K03284|corA; magnesium transporter			PA			PA	PA	
OG0003242||								
OG0007247|K09763|uncharacterized protein		PA						
OG0007413||								
OG0007248||								
OG0004167|K18682|rny; ribonucrease Y [EC:3.1.-.-]								
OG0007249|K06416|spoVS; stage V sporulation protein S								
OG0007414|K00174|korA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	PA	PA	PA			PA		
OG0007250|K00175|korB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	PA	PA	PA			PA		
OG0007415||								
OG0007416||								
OG0007349||								
OG0002116|K00500|phhA; phenylalanine-4-hydroxylase [EC:1.14.16.1]		PA	PA					
OG0002866|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0007252||								
OG0007368||								
OG0004196||								
OG0007366||								
OG0007254||								
OG0005687|K06413|spoVK; stage V sporulation protein K								
OG0007419||								
OG0007420|K00662|aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]			PA					
OG0005461||								
OG0004684|K03307|TC.SSS; solute:Na+ symporter, SSS family	PA	PA	PA		PA			PA
OG0004155||								
OG0000068|K21573|susC; TonB-dependent starch-binding outer membrane protein SusC								
OG0001917|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0005462||								
OG0005502||								
OG0000780||								
OG0000781||								
OG0006944||								
OG0006979||								
OG0002830|K07576|metallo-beta-lactamase family protein						PA	PA	PA
OG0005504||								
OG0000629|K01953|asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	PA		PA		PA	PA		
OG0002274|K05785|rfaH; transcriptional antiterminator RfaH			PA				PA	
OG0001271||								
OG0002157|K06147|ABCB-BAC; ATP-binding cassette, subfamily B, bacterial			PA		PA	PA		
OG0005505||								
OG0005506|K03589|ftsQ; cell division protein FtsQ								
OG0006945||								
OG0003711||								
OG0005507||								
OG0004685||								
OG0006980||								
OG0004686|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0003721||								
OG0001915|K11021|tccC; insecticidal toxin complex protein TccC							PA	
OG0004687||								
OG0002573||								
OG0000442|K03832|tonB; periplasmic protein TonB			PA					
OG0007016||								
OG0006985||								
OG0007017||								
OG0001476||								
OG0001131||								
OG0003126|K01804|araA; L-arabinose isomerase [EC:5.3.1.4]	PA	PA	PA		PA			
OG0004157|K18333|L-fucose dehydrogenase					PA			
OG0007108||								
OG0002561|K05970|SIAE; sialate O-acetylesterase [EC:3.1.1.53]					PA	PA		PA
OG0005516||								
OG0002099|K02429|fucP; MFS transporter, FHS family, L-fucose permease					PA			
OG0006986||								
OG0007105|K02027|ABC.MS.S; multiple sugar transport system substrate-binding protein	PA		PA	PA	PA	PA		
OG0006988||								
OG0006989||								
OG0007018||								
OG0007106||								
OG0006990||								
OG0005438||								
OG0006991||								
OG0003207||								
OG0005455||								
OG0006992|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0006993||								
OG0006994||								
OG0006995||								
OG0006996||								
OG0004485||								
OG0006997||								
OG0005654||								
OG0003690|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0003685|K02005|ABC.CD.TX; HlyD family secretion protein			PA			PA		
OG0005518|K00318|PRODH; proline dehydrogenase [EC:1.5.-.-]	PA							
OG0005519||								
OG0002575||								
OG0003717|K01669|phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]		PA	PA					
OG0001308|K07461|putative endonuclease	PA		PA					
OG0004158||								
OG0003722||								
OG0004602|K08646|MEP; peptidyl-Lys metalloendopeptidase [EC:3.4.24.20]								PA
OG0005456|K01990|ABC-2.A; ABC-2 type transport system ATP-binding protein			PA		PA		PA	
OG0005521||								
OG0007019||								
OG0002515||								
OG0004659||								
OG0002563||								
OG0004663||								
OG0005522||								
OG0005523||								
OG0005524||								
OG0007000||								
OG0003204||								
OG0005525||								
OG0005526||								
OG0003699||								
OG0005527||								
OG0005528||								
OG0005655||								
OG0001529||								
OG0004160||								
OG0004161||								
OG0007001||								
OG0005529||								
OG0007002||								
OG0006946||								
OG0005530||								
OG0007003||								
OG0007004||								
OG0003539|K08978|TC.BAT1; bacterial/archaeal transporter family protein				PA		PA	PA	
OG0000567||								
OG0007005||								
OG0004228||								
OG0001845|K01585|speA; arginine decarboxylase [EC:4.1.1.19]								
OG0007006||								
OG0001616||								
OG0001918||								
OG0002337||								
OG0005457||								
OG0007007||								
OG0007008||								
OG0004688||								
OG0005531||								
OG0003724||								
OG0004530||								
OG0005532||								
OG0007009||								
OG0003935||								
OG0002108||								
OG0000329||								
OG0004664||								
OG0005533||								
OG0004162||								
OG0000992|K19701|ywaD; aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]					PA			
OG0003208||								
OG0005534||								
OG0005535|K09158|uncharacterized protein								
OG0001358||								
OG0005463||								
OG0007010||								
OG0001986||								
OG0002564||								
OG0002926||								
OG0005536||								
OG0005538||								
OG0006981||								
OG0007107||								
OG0002868||								
OG0007011||								
OG0007020||								
OG0003725||								
OG0001912|K19587|oqxR; Rrf2 family transcriptional regulator, repressor of oqxAB			PA					
OG0005539||								
OG0000240||								
OG0003726||								
OG0001469|K07386|pepO; putative endopeptidase [EC:3.4.24.-]			PA		PA			
OG0005656||								
OG0003606|K01880|GARS; glycyl-tRNA synthetase [EC:6.1.1.14]			PA					
OG0007012||								
OG0007013||								
OG0007014||								
OG0002571||								
OG0005541||								
OG0007015||								
OG0005542||								
OG0004163|K11942|icmF; isobutyryl-CoA mutase [EC:5.4.99.13]		PA				PA		
OG0004116||								
OG0005381||								
OG0005380||								
OG0002165||								
OG0001615|K01278|DPP4; dipeptidyl-peptidase 4 [EC:3.4.14.5]	PA		PA					
OG0004691||								
OG0004106|K01444|AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]								
OG0004172||								
OG0005543||								
OG0004692|K02337|dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]			PA					
OG0007021|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0003720||								
OG0006943||								
OG0004665||								
OG0001919|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0002338||								
OG0003201||								
OG0002335||								
OG0004605||								
OG0005544||								
OG0007023||								
OG0004151||								
OG0006947||								
OG0002143||								
OG0004164|K02217|ftnA; ferritin [EC:1.16.3.2]					PA			
OG0007024||								
OG0005545||								
OG0007109|K01205|NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]					PA			
OG0003712||								
OG0007025|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0002442|K03435|fruR1; LacI family transcriptional regulator, fructose operon transcriptional repressor			PA			PA		
OG0005546||								
OG0005548||								
OG0004693||								
OG0005549||								
OG0005657||								
OG0005658||								
OG0007027||								
OG0005465||								
OG0002333||								
OG0002870|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0007028||								
OG0004165|K07090|uncharacterized protein	PA	PA	PA					
OG0007029||								
OG0002743|K20971|ladS; two-component system, sensor histidine kinase LadS								
OG0006948||								
OG0004592||								
OG0002304||								
OG0001724|K07141|mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	PA	PA	PA			PA		
OG0003903|K02575|NRT; MFS transporter, NNP family, nitrate/nitrite transporter			PA		PA	PA		
OG0001906|K01069|gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]	PA	PA		PA				
OG0002872|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0002576||								
OG0003623|K09955|uncharacterized protein	PA		PA	PA	PA	PA		PA
OG0005551||								
OG0005552||								
OG0007030||								
OG0004149||								
OG0006949||								
OG0005553||								
OG0005573||								
OG0005574||								
OG0005554||								
OG0007031||								
OG0004166||								
OG0007032||								
OG0005555||								
OG0004670||								
OG0005556||								
OG0007033||								
OG0004301||								
OG0003813|K01992|ABC-2.P; ABC-2 type transport system permease protein			PA				PA	
OG0003209||								
OG0005557|K07133|uncharacterized protein		PA	PA				PA	
OG0004694||								
OG0007034|K03918|lat; L-lysine 6-transaminase [EC:2.6.1.36]			PA		PA			
OG0005558||								
OG0004110||								
OG0007035||								
OG0006950||								
OG0007041||								
OG0004088||								
OG0007036||								
OG0004148||								
OG0002577|K06142|hlpA; outer membrane protein								
OG0005559||								
OG0002240||								
OG0005560||								
OG0005575||								
OG0004695||								
OG0005561|K03073|secE; preprotein translocase subunit SecE								
OG0003186||								
OG0005466||								
OG0005562|K09888|zapA; cell division protein ZapA								
OG0005563||								
OG0005565|K06937|7		PA			PA	PA		
OG0005566||								
OG0005467||								
OG0005568||								
OG0004696||								
OG0005569||								
OG0005570||								
OG0004551||								
OG0007037||								
OG0004168||								
OG0002825||								
OG0002365|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0005571||								
OG0007038||								
OG0005342||								
OG0007042||								
OG0001708||								
OG0007039||								
OG0005471||								
OG0005572||								
OG0007043||								
OG0002828|K14596|crtX; zeaxanthin glucosyltransferase [EC:2.4.1.276]								
OG0005576||								
OG0005577||								
OG0002859|K01051|E3.1.1.11; pectinesterase [EC:3.1.1.11]					PA	PA		PA
OG0004169|K15532|yteR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]			PA	PA	PA			
OG0005382||								
OG0002308||								
OG0004170|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0007055||								
OG0007044||								
OG0003715||								
OG0002158|K06211|nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]					PA			
OG0005578|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0002411||								
OG0004675||								
OG0007045||								
OG0004085||								
OG0001893|K19670|phnA; phosphonoacetate hydrolase [EC:3.11.1.2]			PA					
OG0004698||								
OG0005579||								
OG0005580||								
OG0004594||								
OG0002582|K01692|paaF; enoyl-CoA hydratase [EC:4.2.1.17]			PA			PA		
OG0005247||								
OG0005581||								
OG0004125||								
OG0004699||								
OG0005602|K00703|glgA; starch synthase [EC:2.4.1.21]			PA			PA	PA	
OG0007046|K07027|glycosyltransferase 2 family protein			PA					PA
OG0004700|K07588|argK; LAO/AO transport system kinase [EC:2.7.-.-]	PA							
OG0005583||								
OG0007047||								
OG0007048||								
OG0005584||								
OG0006736||								
OG0002986||								
OG0005469||								
OG0004171|K16868|tehB; tellurite methyltransferase [EC:2.1.1.265]								
OG0004120||								
OG0005585|K03424|tatD; TatD DNase family protein [EC:3.1.21.-]								
OG0005586||								
OG0005376||								
OG0004611||								
OG0005587||								
OG0007049|K00812|aspB; aspartate aminotransferase [EC:2.6.1.1]	PA		PA			PA	PA	
OG0005588||								
OG0002363|K02742|sprT; SprT protein								
OG0005590||								
OG0005591||								
OG0004701||								
OG0005592||								
OG0004702||								
OG0007056||								
OG0003578|K22757|QCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]								
OG0005593||								
OG0004703||								
OG0005470||								
OG0003211|K01183|E3.2.1.14; chitinase [EC:3.2.1.14]	PA			PA	PA			
OG0007050||								
OG0002574||								
OG0004705||								
OG0005594|K00809|DHPS; deoxyhypusine synthase [EC:2.5.1.46]			PA					
OG0005595|K00185|prokaryotic molybdopterin-containing oxidoreductase family			PA					
OG0005596||								
OG0005597||								
OG0005598||								
OG0007051||								
OG0007052||								
OG0005599|K20483|nisB; lantibiotic biosynthesis protein								
OG0007053||								
OG0001920||								
OG0004673|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0004173|K01201|GBA; glucosylceramidase [EC:3.2.1.45]				PA	PA			
OG0007054||								
OG0004707||								
OG0005600||								
OG0004708||								
OG0002853||								
OG0007104||								
OG0005601||								
OG0007103||								
OG0005603||								
OG0005604||								
OG0005605||								
OG0001826||								
OG0005623||								
OG0007059|K07139|uncharacterized protein					PA			
OG0004622|K07221|oprO_P; phosphate-selective porin OprO and OprP			PA				PA	
OG0007060||								
OG0007061|K02429|fucP; MFS transporter, FHS family, L-fucose permease					PA			
OG0001395|K06895|lysE; L-lysine exporter family protein LysE/ArgO			PA			PA		
OG0005606||								
OG0005607||								
OG0007062||								
OG0005608||								
OG0005609||								
OG0005610||								
OG0007063||								
OG0003729|K21572|susD; starch-binding outer membrane protein, SusD/RagB family								
OG0005611||								
OG0006716||								
OG0002855|K11537|xapB; MFS transporter, NHS family, xanthosine permease					PA			PA
OG0005612||								
OG0007064||								
OG0007065||								
OG0003730||								
OG0003845||								
OG0005613|K02622|parE; topoisomerase IV subunit B [EC:5.99.1.-]								
OG0001475|K03292|TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family			PA	PA		PA		PA
OG0005614||								
OG0007067||								
OG0007068||								
OG0004599|K01187|malZ; alpha-glucosidase [EC:3.2.1.20]			PA		PA	PA	PA	
OG0005615||								
OG0003614||								
OG0007069||								
OG0005616||								
OG0004965||								
OG0004710||								
OG0005617||								
OG0005618||								
OG0005619||								
OG0005620||								
OG0003714||								
OG0004712||								
OG0007110||								
OG0007070||								
OG0004713||								
OG0003213||								
OG0002239|K03113|EIF1; translation initiation factor 1						PA		
OG0004896|K06147|ABCB-BAC; ATP-binding cassette, subfamily B, bacterial			PA		PA	PA		
OG0005621||								
OG0005622||								
OG0005472||								
OG0004184|K19713|tsdA; thiosulfate dehydrogenase [EC:1.8.2.2]			PA			PA	PA	PA
OG0003710|K00389|yidH; putative membrane protein								
OG0007072||								
OG0006951||								
OG0001534|K02040|pstS; phosphate transport system substrate-binding protein					PA			
OG0004680||								
OG0005473||								
OG0004377||								
OG0007073||								
OG0006801||								
OG0005640||								
OG0004715||								
OG0005474||								
OG0004175||								
OG0001618||								
OG0007074||								
OG0003686||								
OG0007112||								
OG0007075||								
OG0007076||								
OG0004123|K06175|truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]					PA			
OG0007079||								
OG0002867||								
OG0004112||								
OG0007080||								
OG0004109|K01194|TREH; alpha,alpha-trehalase [EC:3.2.1.28]						PA	PA	
OG0006817||								
OG0002882||								
OG0004107|K05982|E3.1.21.7; deoxyribonuclease V [EC:3.1.21.7]	PA				PA			
OG0004079||								
OG0005624||								
OG0005625||								
OG0005475||								
OG0004716||								
OG0007081||								
OG0005510||								
OG0007082||								
OG0004176||								
OG0002699||								
OG0000609||								
OG0005454||								
OG0007083||								
OG0007084|K09003|uncharacterized protein			PA		PA			PA
OG0001914|K01077|E3.1.3.1; alkaline phosphatase [EC:3.1.3.1]					PA		PA	
OG0006952||								
OG0006953||								
OG0006915||								
OG0006347||								
